date,values,Termo Buscado,Data e Hora,Palavra Pivo,Num da Comp,Periodo
2018-08-11,94,GELADEIRA,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-12,89,GELADEIRA,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-13,90,GELADEIRA,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-14,94,GELADEIRA,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-15,84,GELADEIRA,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-16,77,GELADEIRA,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-17,77,GELADEIRA,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-18,87,GELADEIRA,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-19,85,GELADEIRA,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-20,90,GELADEIRA,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-21,89,GELADEIRA,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-23,63,COMPUTADOR,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-24,64,COMPUTADOR,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-25,57,COMPUTADOR,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-26,56,COMPUTADOR,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-27,60,COMPUTADOR,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-28,53,COMPUTADOR,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-29,51,COMPUTADOR,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-30,62,COMPUTADOR,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-31,58,COMPUTADOR,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-01,61,COMPUTADOR,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-02,61,COMPUTADOR,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-03,64,COMPUTADOR,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-04,59,COMPUTADOR,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-05,51,COMPUTADOR,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-06,62,COMPUTADOR,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-07,62,COMPUTADOR,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
